lon,lat,limit
34.90199694,128.394964,70
34.97788233,127.7955419,70
35.24212702,128.4264605,60
35.1818732,127.9204763,60
35.59724397,128.8945198,80
35.6801166,127.9061666,50
35.41378677,128.0973673,60
35.08406667,128.3746649,50
35.59559472,127.8020063,80
35.29060678,128.376207,100
35.08713099,127.940188,60
35.2452695,128.6445361,60
35.20323942,128.5711447,50
35.21049721,128.5848315,50
35.21809835,128.6012219,60
35.24906707,128.5236917,60
35.25138855,128.8683035,60
35.2450686,128.8676693,60
35.2224178,128.8698872,40
35.19952662,128.8086197,60
35.50096713,128.7418282,60
35.50096713,128.7418282,60
35.12654491,128.4856548,80
35.08908419,128.4611678,50
35.21698751,128.62447,60
35.66451841,127.9316081,60
35.31660073,128.5852349,50
35.35225025,128.7096179,70
34.86472854,128.6901057,50
35.31327519,128.4774655,60
35.26617488,128.4225865,60
35.3088918,128.5185547,60
35.3534812,128.4869818,60
35.26684132,128.6163334,50
35.24007876,128.8991838,60
35.35928468,129.0406737,70
35.35928468,129.0406737,70
35.56410605,127.7829566,80
35.51185551,127.8113809,80
34.90699085,128.0258484,50
35.34256849,128.0344969,60
35.12381613,128.8965388,60
35.23237877,129.0138866,50
35.28468668,129.0954801,50
35.11343021,128.9253741,60
35.20102,128.9999564,50
35.25282355,129.0104584,50
35.22286207,129.0049258,60
35.3729476,129.3503624,50
36.69960887,126.8292763,60
37.34311415,127.9870317,50
37.3407736,127.8807145,80
37.67145922,127.1340556,60
37.65743141,127.1167957,60
37.76156041,127.088016,50
37.66056415,126.8849709,60
35.11844269,126.8638367,50
37.8238242,127.759342,50
37.681586,127.8697703,70
33.2525882,126.4726875,30
37.572243,126.7291416,50
37.5732511,126.7559803,50
37.5774224,126.7644433,50
37.5069688,126.7360885,50
37.5779572,126.7323091,50
37.5776272,126.7324248,50
35.96101184,126.9978558,50
37.46373901,127.0245988,50
37.46471047,127.0237693,50
37.49150541,126.9830199,50
36.85351661,126.2352619,60
36.78412079,127.0171845,50
36.82885156,127.0961213,60
36.79593375,127.1066958,60
36.19978784,126.6336155,30
36.5275802,127.1840543,60
36.5275307,127.1840885,60
36.6905862,126.7432401,60
37.07512298,128.2771413,70
35.37337022,127.3136408,40
35.3576359,127.3218852,80
35.65948874,126.5103151,80
37.8139164,128.8553153,80
37.1804798,128.9693506,60
37.73067249,126.7607047,60
37.71199214,126.7494221,60
37.76498146,126.7808936,50
37.72609443,126.7609012,60
37.72279904,126.7507871,60
37.72120496,126.750203,50
37.72634605,126.7514654,60
37.70954977,126.7433008,50
37.72449612,126.7392617,50
36.60074231,128.2086017,80
36.60074231,128.2086017,80
35.81948188,128.4634703,60
36.8038215,127.0595057,50
35.23808809,128.6337596,60
35.24419176,128.6562946,60
35.33094881,128.7098588,60
37.6098879,127.0225933,30
37.51159257,126.874068,60
35.83216104,127.0697073,60
35.7912468,126.9375218,60
35.7909078,126.9378687,60
34.9634671,127.5428887,60
35.03528716,126.7525012,60
35.01727974,126.7170138,70
35.01727974,126.7170138,70
35.0183287,126.7590575,70
35.01837072,126.7590575,70
34.8940844,128.0139802,60
35.70136779,127.8548814,60
35.68533161,127.899581,50
35.3771626,127.1501458,60
35.377384,127.1498854,60
37.92992789,126.8499637,60
37.8464492,126.8834646,50
37.81786528,126.7964584,60
37.66737841,126.7373217,60
37.82587939,126.7720018,60
37.8303679,126.7731839,60
37.7170909,126.7540617,60
37.56504723,127.1066316,60
37.62827339,126.8337591,30
36.7612545,126.4538792,60
